@RELATION Drogoz_Bot

@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE mario_x NUMERIC
@ATTRIBUTE mario_y NUMERIC
@ATTRIBUTE marioStatus NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE isMarioOnGround {1, 0}
@ATTRIBUTE isMarioAbleToJump {1, 0}
@ATTRIBUTE isMarioAbleToShoot {1, 0}
@ATTRIBUTE isMarioCarrying {1, 0}
@ATTRIBUTE killsTotal NUMERIC
@ATTRIBUTE killsByFire NUMERIC
@ATTRIBUTE killsByStomp NUMERIC
@ATTRIBUTE killsByShell NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE distancePassedPhys NUMERIC
@ATTRIBUTE flowersDevoured NUMERIC
@ATTRIBUTE mushroomsDevoured NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE timeSpent NUMERIC
@ATTRIBUTE hiddenBlocksFound NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE bricks NUMERIC
@ATTRIBUTE enemys NUMERIC
@ATTRIBUTE coins_6 NUMERIC
@ATTRIBUTE enemys_6 NUMERIC
@ATTRIBUTE coins_12 NUMERIC
@ATTRIBUTE enemys_12 NUMERIC
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE enemys_24 NUMERIC
@ATTRIBUTE ACTION {PARADO, SALTA, AVANZA, JUMP-ADVANCE}
@ATTRIBUTE prediccion_24 NUMERIC
@data
0, 0, 0, 0, 0, 0, 0, 0, -85, 221.255, 164.499, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 198, 13, 221, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, 0, 0, -85, 0, -85, 231.63695, 167.54915, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 198, 14, 231, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -85, 0, -85, 0, 0, 242.07687, 173.14177, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 198, 15, 242, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, -85, -60, -85, -60, 0, -60, 252.5684, 180.89551, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 198, 15, 252, 0, 0, 0, 2, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, -85, -60, 0, -60, 0, -60, 263.1059, 190.48618, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 198, 16, 263, 0, 0, 0, 2, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -60, 0, -60, 0, -60, 273.68423, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 197, 17, 273, 0, 0, 0, 2, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -60, 0, -60, 0, -60, 284.29895, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 197, 17, 284, 0, 0, 0, 2, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, -60, -60, -60, -60, -60, -60, 294.94604, 199.05737, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 197, 18, 294, 0, 0, 0, 2, 0, -1, 2, 0, 1, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, -60, -60, -60, -60, -60, -60, 305.62198, 207.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 197, 19, 305, 0, 0, 0, 2, 0, -1, 4, 1, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, -60, -60, -60, -60, -60, -60, 316.32355, 207.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 197, 19, 316, 0, 0, 0, 2, 0, -1, 4, 1, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, -60, -60, -60, -60, -60, -60, 327.04794, 207.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 197, 20, 327, 0, 0, 0, 2, 0, -1, 6, 2, 1, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, -60, -60, -60, -60, -60, -60, -60, 337.79266, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 197, 21, 337, 0, 0, 0, 2, 0, -1, 8, 2, 1, 0, 1, 0, 1, 0, 1, AVANZA, 0
0, 0, -60, -60, -60, -60, -60, -60, -60, 348.55545, 193.7, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 21, 348, 0, 0, 0, 2, 0, -1, 8, 2, 1, 0, 1, 0, 1, 0, 1, AVANZA, 0
0, -60, -60, -60, -60, -60, -60, -60, -60, 359.33435, 180.4, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 22, 359, 0, 0, 0, 2, 0, -1, 8, 4, 1, 0, 1, 0, 1, 0, 1, JUMP-ADVANCE, 0
0, 0, 80, -60, -60, -60, -60, -60, -60, 363.0, 169.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 22, 363, 0, 0, 0, 2, 0, -1, 8, 4, 1, 0, 1, 0, 1, 0, 1, AVANZA, 0
0, 0, 0, 80, -60, 0, -60, 0, -60, 364.2, 159.5, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 22, 364, 0, 0, 0, 2, 0, -1, 8, 4, 1, 0, 1, 0, 1, 0, 1, AVANZA, 0
0, 0, 0, 80, -60, 0, -60, 0, -60, 366.46802, 151.9, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 22, 366, 0, 0, 0, 2, 0, -1, 8, 4, 1, 0, 1, 0, 1, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, -60, 0, -60, 0, -60, 369.68652, 146.2, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 23, 369, 0, 0, 0, 2, 0, -1, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 373.751, 142.4, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 23, 373, 0, 0, 0, 3, 0, -1, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 378.5684, 142.17, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 23, 378, 0, 0, 0, 3, 0, -1, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -60, 0, -60, 0, -60, 384.05588, 144.9745, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 24, 384, 0, 0, 0, 3, 0, -1, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -60, 0, -60, 0, -60, 390.13974, 150.35832, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 24, 390, 0, 0, 0, 3, 0, -1, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -60, 0, -60, 0, -60, 396.75436, 157.93457, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 24, 396, 0, 0, 0, 3, 0, -1, 8, 4, 2, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, 0, -60, -60, -60, -60, -60, -60, 403.84137, 167.37439, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 25, 403, 0, 0, 0, 3, 0, -1, 8, 6, 2, 0, 0, 0, 0, 0, 1, AVANZA, 5
0, 0, 0, -60, -60, -60, -60, -60, -60, 411.34882, 175.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 196, 25, 411, 0, 0, 0, 3, 0, -1, 8, 6, 2, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 5
0, 0, -24, -60, -60, -60, -60, -60, -60, 419.23044, 175.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 26, 419, 0, 0, 0, 3, 0, -1, 11, 9, 2, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE, 0
0, 0, -24, -60, -60, -60, -60, -60, -60, 427.4451, 161.7, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 26, 427, 0, 0, 0, 3, 0, -1, 11, 9, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, -24, -60, -24, -60, 0, -60, 435.95615, 148.4, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 27, 435, 0, 0, 2, 3, 0, 31, 13, 12, 2, 0, 0, 0, 0, 0, 1, AVANZA, 0
0, 0, 0, 0, -24, 0, -24, 0, 0, 444.73096, 137.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 27, 444, 0, 0, 4, 3, 0, 63, 11, 12, 2, 0, 0, 0, 0, 2, 1, AVANZA, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 453.74054, 127.5, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 28, 453, 0, 0, 4, 3, 0, 63, 15, 13, 2, 0, 0, 0, 0, 4, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 462.95908, 122.425, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 28, 462, 0, 0, 4, 3, 0, 63, 15, 13, 2, 0, 0, 0, 0, 4, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 472.3636, 121.11125, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 29, 472, 0, 0, 4, 3, 0, 63, 18, 14, 2, 0, 0, 0, 0, 4, 1, AVANZA, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 481.9336, 122.99457, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 30, 481, 0, 0, 4, 3, 0, 63, 20, 15, 2, 0, 0, 0, 0, 4, 1, JUMP-ADVANCE, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 491.6509, 127.59538, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 30, 491, 0, 0, 5, 4, 0, 79, 19, 15, 2, 0, 0, 0, 0, 4, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 501.4993, 134.50607, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 31, 501, 0, 0, 5, 4, 0, 79, 19, 16, 1, 0, 0, 0, 0, 5, 1, AVANZA, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 511.4644, 143.38016, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 31, 511, 0, 0, 5, 4, 0, 79, 19, 16, 1, 0, 0, 0, 0, 5, 1, AVANZA, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 521.53326, 153.92313, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 32, 521, 0, 0, 5, 4, 0, 79, 19, 17, 2, 0, 0, 0, 0, 5, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 531.6946, 165.88466, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 33, 531, 0, 0, 5, 4, 0, 79, 22, 17, 2, 0, 0, 0, 0, 5, 1, JUMP-ADVANCE, 0
0, 0, 0, 0, -24, 0, -24, 0, -24, 541.9382, 179.05196, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 33, 541, 0, 0, 5, 4, 0, 79, 18, 17, 2, 0, 0, 0, 0, 5, 1, JUMP-ADVANCE, 0
0, 0, 0, -24, -60, -24, -60, 0, -60, 552.25494, 193.24416, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 34, 552, 0, 0, 5, 4, 0, 79, 21, 16, 2, 0, 0, 0, 0, 5, 1, JUMP-ADVANCE, 0
0, 0, 0, -24, -60, 0, -60, 0, -60, 562.6369, 207.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 195, 35, 562, 0, 0, 7, 4, 0, 111, 22, 18, 2, 0, 0, 2, 0, 5, 1, JUMP-ADVANCE, 1
0, 0, 0, -24, -60, 0, -60, 0, -60, 573.07684, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 195, 35, 573, 0, 0, 9, 4, 0, 143, 20, 18, 2, 0, 0, 4, 0, 7, 1, AVANZA, 1
0, 0, 0, 0, -60, 0, -60, 0, -60, 583.56836, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 195, 36, 583, 0, 0, 9, 4, 0, 143, 23, 20, 2, 0, 0, 4, 0, 9, 1, JUMP-ADVANCE, 7
0, 0, 0, 0, -60, 0, -60, -24, -60, 594.10583, 193.7, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 37, 594, 0, 0, 11, 4, 0, 175, 24, 22, 2, 0, 0, 4, 0, 9, 1, AVANZA, 4
0, 0, 0, 0, 0, 0, 0, 80, -24, 604.6842, 185.39499, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 37, 604, 0, 0, 13, 4, 0, 207, 24, 23, 2, 0, 0, 4, 0, 11, 1, AVANZA, 6
0, 0, 0, 0, 0, 80, -24, -24, -60, 615.29895, 181.33574, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 38, 615, 0, 0, 13, 4, 0, 207, 28, 24, 2, 0, 0, 4, 0, 13, 1, AVANZA, 5
0, 0, 0, 0, -24, -24, -60, 0, -60, 625.94604, 180.88538, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 39, 625, 0, 0, 14, 4, 0, 223, 27, 24, 2, 2, 0, 5, 0, 13, 1, AVANZA, 5
0, 0, 0, 0, -24, -24, -60, 0, -60, 636.62195, 183.50256, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 39, 636, 0, 0, 14, 4, 0, 223, 27, 24, 2, 4, 0, 5, 0, 14, 1, JUMP-ADVANCE, 5
0, 0, 0, -24, -60, 0, -60, 0, -60, 647.32355, 188.72717, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 195, 40, 647, 0, 0, 14, 5, 0, 223, 26, 25, 3, 4, 0, 5, 0, 14, 1, AVANZA, 1
0, 0, 0, 0, -60, 0, -60, -24, -60, 658.048, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 195, 41, 658, 0, 0, 14, 5, 0, 223, 27, 25, 3, 4, 0, 5, 0, 14, 1, JUMP-ADVANCE, 9
0, 0, 0, 0, -60, 0, -60, -24, -60, 668.79266, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 194, 41, 668, 0, 0, 16, 5, 0, 255, 25, 25, 3, 4, 0, 4, 0, 14, 1, AVANZA, 1
0, 0, -24, -60, -60, -60, -60, -60, -60, 679.5555, 196.37607, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 42, 679, 0, 0, 16, 5, 0, 255, 21, 25, 3, 4, 0, 4, 0, 16, 1, JUMP-ADVANCE, 9
0, -24, 0, -60, -60, -60, -60, -60, -60, 690.33435, 203.94572, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 43, 690, 0, 0, 18, 5, 0, 287, 19, 25, 2, 3, 0, 3, 0, 14, -1, JUMP-ADVANCE, 9
0, -24, 0, -60, -60, -60, -60, -60, -60, 699.0, 207.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 194, 43, 699, 0, 0, 19, 5, 0, 303, 18, 25, 2, 1, 0, 1, 0, 14, -3, AVANZA, 1
0, -24, 0, -60, -60, -60, -60, -60, -60, 699.0, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 194, 43, 699, 0, 0, 19, 5, 0, 303, 18, 25, 2, 1, 0, 1, 0, 15, -3, JUMP-ADVANCE, 9
0, -24, 0, -60, -60, -60, -60, -60, -60, 699.0, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 194, 43, 699, 0, 0, 19, 5, 0, 303, 18, 25, 2, 1, 0, 1, 0, 15, -3, AVANZA, 1
0, -24, 0, -60, -60, -60, -60, -60, -60, 699.0, 193.7, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 43, 699, 0, 0, 19, 5, 0, 303, 18, 25, 2, 1, 0, 1, 0, 15, -3, AVANZA, 1
0, 0, 0, -24, -60, 0, -60, -24, -60, 699.0, 185.39499, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 43, 699, 0, 0, 20, 5, 0, 319, 21, 25, 2, 1, 0, 1, 0, 15, -3, AVANZA, 1
0, 0, 0, -24, -60, 0, -60, -24, -60, 700.2, 184.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 43, 700, 0, 0, 20, 5, 0, 319, 21, 24, 2, 0, 0, 0, 0, 15, -4, JUMP-ADVANCE, 5
0, 0, 0, -24, -60, 0, -60, -24, -60, 702.468, 187.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 43, 702, 0, 0, 20, 5, 0, 319, 21, 24, 2, 2, 0, 2, 0, 15, -4, JUMP-ADVANCE, 5
0, 0, 0, 0, -60, -24, -60, -24, -60, 705.6865, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 194, 44, 705, 0, 0, 20, 5, 0, 319, 21, 22, 2, 4, 0, 4, 0, 15, -4, AVANZA, 4
0, 0, 0, 0, -60, -24, -60, -24, -60, 709.751, 191.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 194, 44, 709, 0, 0, 20, 5, 0, 319, 21, 22, 2, 4, 0, 4, 0, 15, -4, JUMP-ADVANCE, 4
0, 0, 0, 0, -60, -24, -60, -24, -60, 714.56836, 191.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 194, 44, 714, 0, 0, 20, 5, 0, 319, 21, 22, 2, 6, 0, 6, 0, 15, -4, JUMP-ADVANCE, 4
0, 0, 0, -24, -60, -24, -60, 80, -60, 720.05585, 191.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 194, 45, 720, 0, 0, 22, 6, 0, 351, 19, 19, 2, 8, 0, 11, 0, 15, -4, JUMP-ADVANCE, 2
0, 0, 0, -24, -60, -24, -60, 0, -60, 726.1397, 184.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 194, 45, 726, 0, 0, 22, 6, 0, 351, 19, 18, 2, 8, 0, 11, 0, 17, -4, AVANZA, 1
0, 0, 0, -24, -60, -24, -60, 0, -60, 732.75433, 187.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 193, 45, 732, 0, 0, 24, 6, 0, 383, 17, 18, 2, 7, 0, 11, 0, 15, -6, JUMP-ADVANCE, 4
0, 0, 0, -24, -60, 0, -60, 80, -60, 739.8414, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 193, 46, 739, 0, 0, 24, 6, 0, 383, 16, 15, 3, 5, 0, 10, 0, 15, -8, JUMP-ADVANCE, 0
0, 0, 0, -24, -60, 0, -60, 80, -60, 747.3488, 191.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 193, 46, 747, 0, 0, 24, 6, 0, 383, 16, 15, 3, 5, 0, 10, 0, 15, -8, AVANZA, 0
0, 0, 0, 0, -60, 80, -60, -60, -60, 755.23047, 184.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 193, 47, 755, 0, 0, 27, 6, 0, 431, 13, 13, 2, 3, 0, 8, 0, 13, -10, JUMP-ADVANCE, 3
0, 0, 0, 0, -60, 80, -60, -60, -60, 763.4451, 187.0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 193, 47, 763, 0, 0, 27, 6, 0, 431, 13, 13, 2, 3, 0, 6, 0, 14, -12, AVANZA, 3
