@RELATION Drogoz_Bot

@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE mario_x NUMERIC
@ATTRIBUTE mario_y NUMERIC
@ATTRIBUTE marioStatus NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE isMarioOnGround {1, 0}
@ATTRIBUTE isMarioAbleToJump {1, 0}
@ATTRIBUTE isMarioAbleToShoot {1, 0}
@ATTRIBUTE isMarioCarrying {1, 0}
@ATTRIBUTE killsTotal NUMERIC
@ATTRIBUTE killsByFire NUMERIC
@ATTRIBUTE killsByStomp NUMERIC
@ATTRIBUTE killsByShell NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE distancePassedPhys NUMERIC
@ATTRIBUTE flowersDevoured NUMERIC
@ATTRIBUTE mushroomsDevoured NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE timeSpent NUMERIC
@ATTRIBUTE hiddenBlocksFound NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE bricks NUMERIC
@ATTRIBUTE enemys NUMERIC
@ATTRIBUTE coins_6 NUMERIC
@ATTRIBUTE enemys_6 NUMERIC
@ATTRIBUTE coins_12 NUMERIC
@ATTRIBUTE enemys_12 NUMERIC
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE enemys_24 NUMERIC
@ATTRIBUTE ACTION {PARADO, SALTA, AVANZA, JUMP-ADVANCE}
@data
0, 0, 0, 0, -60, 0, -60, 0, -60, 291.84137, 191.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 196, 18, 291, 0, 0, 0, 3, 0, -1, 2, 1, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 299.34882, 196.72658, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 18, 299, 0, 0, 0, 3, 0, -1, 2, 0, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 307.23044, 204.59418, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 19, 307, 0, 0, 0, 3, 0, -1, 4, 1, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 315.4451, 207.0, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 196, 19, 315, 0, 0, 0, 3, 0, -1, 4, 1, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 323.95615, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 20, 323, 0, 0, 0, 3, 0, -1, 6, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 332.73096, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 20, 332, 0, 0, 0, 3, 0, -1, 6, 2, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, -60, -60, -60, -60, -60, -60, -60, 341.74054, 207.0, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 196, 21, 341, 0, 0, 0, 4, 0, -1, 8, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, -60, -60, -60, -60, -60, -60, -60, 350.95908, 193.7, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 196, 21, 350, 0, 0, 0, 4, 0, -1, 8, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, -60, -60, -60, -60, -60, -60, -60, -60, 360.3636, 185.39499, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 195, 22, 360, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 181.33574, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 180.88538, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 183.50256, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 188.72717, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 196.16809, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 205.49287, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, AVANZA
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 207.0, 2, 1, 1, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, AVANZA
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 207.0, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, AVANZA
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 207.0, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 193.7, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 180.4, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 363.6, 169.0, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 363, 0, 0, 0, 4, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, 0, -60, 0, -60, 0, -60, 364.734, 159.5, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 364, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, 0, 0, -60, 0, -60, 0, -60, 366.34326, 151.9, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 195, 22, 366, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, 0, -60, 0, -60, 0, -60, 368.3755, 146.2, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 194, 23, 368, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, 0, 0, -60, 0, -60, 0, -60, 370.78418, 144.355, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 194, 23, 370, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, 0, -60, 0, -60, 0, -60, 373.52792, 145.78674, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 194, 23, 373, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, 0, -60, 0, -60, 0, -60, 376.56985, 150.00372, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 194, 23, 376, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, 0, 0, -60, 0, -60, 0, -60, 379.87717, 156.58817, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 194, 23, 379, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 383.4207, 165.18494, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 194, 23, 383, 0, 0, 0, 5, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 387.1744, 175.0, 2, 1, 1, 0, 1, 0, 1, 1, 0, 0, 194, 24, 387, 0, 0, 0, 5, 0, -43, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 391.11523, 175.0, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 194, 24, 391, 0, 0, 0, 5, 0, -43, 8, 4, 2, 0, 0, 0, 0, 0, 1, AVANZA
