@RELATION P1BotAgent

@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE mario_x NUMERIC
@ATTRIBUTE mario_y NUMERIC
@ATTRIBUTE marioStatus NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE isMarioOnGround {1, 0}
@ATTRIBUTE isMarioAbleToJump {1, 0}
@ATTRIBUTE isMarioAbleToShoot {1, 0}
@ATTRIBUTE isMarioCarrying {1, 0}
@ATTRIBUTE killsTotal NUMERIC
@ATTRIBUTE killsByFire NUMERIC
@ATTRIBUTE killsByStomp NUMERIC
@ATTRIBUTE killsByShell NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE distancePassedPhys NUMERIC
@ATTRIBUTE flowersDevoured NUMERIC
@ATTRIBUTE mushroomsDevoured NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE timeSpent NUMERIC
@ATTRIBUTE hiddenBlocksFound NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE bricks NUMERIC
@ATTRIBUTE enemys NUMERIC
@ATTRIBUTE coins_6 NUMERIC
@ATTRIBUTE enemys_6 NUMERIC
@ATTRIBUTE coins_12 NUMERIC
@ATTRIBUTE enemys_12 NUMERIC
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE enemys_24 NUMERIC
@ATTRIBUTE ACTION {PARADO, SALTA, AVANZA, JUMP-ADVANCE}
@data
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 188.72717, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 196, 22, 363, 0, 0, 0, 3, 0, -43, 8, 4, 1, 0, 0, 0, 0, 0, 1, AVANZA
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 196.16809, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 196, 22, 363, 0, 0, 0, 3, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 205.49287, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 196, 22, 363, 0, 0, 0, 3, 0, -43, 8, 2, 1, 0, 0, 0, 0, 0, 1, JUMP-ADVANCE
-60, -60, -60, -60, -60, -60, -60, -60, -60, 363.0, 201.0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 196, 22, 363, 0, 0, 0, 4, 0, -33, 8, 2, 0, 0, 0, 0, 0, 0, 1, AVANZA
0, -60, -60, -60, -60, -60, -60, -60, -60, 363.6, 185.8, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 196, 22, 363, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, JUMP-ADVANCE
0, 0, 0, -60, -60, -60, -60, -60, -60, 363.0, 175.88, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 195, 22, 363, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 363.6, 170.448, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 195, 22, 363, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 364.734, 168.8308, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 195, 22, 364, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 366.34326, 170.45618, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 195, 22, 366, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 368.3755, 174.83775, 2, 1, 0, 0, 1, 0, 2, 1, 1, 0, 195, 23, 368, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 370.78418, 175.0, 2, 1, 1, 0, 1, 0, 2, 1, 1, 0, 195, 23, 370, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 373.52792, 175.0, 2, 1, 1, 1, 1, 0, 2, 1, 1, 0, 195, 23, 373, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 376.56985, 175.0, 2, 1, 1, 1, 1, 0, 2, 1, 1, 0, 195, 23, 376, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
0, 0, 0, -60, -60, -60, -60, -60, -60, 379.87717, 175.0, 2, 1, 1, 1, 1, 0, 2, 1, 1, 0, 195, 23, 379, 0, 0, 0, 4, 0, -33, 8, 4, 0, 0, 0, 0, 0, 0, 2, AVANZA
