@RELATION P1BotAgent

@ATTRIBUTE celda[6][9] NUMERIC
@ATTRIBUTE celda[7][9] NUMERIC
@ATTRIBUTE celda[8][9] NUMERIC
@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[12][10] NUMERIC
@ATTRIBUTE celda[13][10] NUMERIC
@ATTRIBUTE celda[14][10] NUMERIC
@ATTRIBUTE celda[15][10] NUMERIC
@ATTRIBUTE celda[16][10] NUMERIC
@ATTRIBUTE celda[17][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[12][11] NUMERIC
@ATTRIBUTE celda[13][11] NUMERIC
@ATTRIBUTE celda[14][11] NUMERIC
@ATTRIBUTE celda[15][11] NUMERIC
@ATTRIBUTE celda[16][11] NUMERIC
@ATTRIBUTE celda[17][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE celda[12][12] NUMERIC
@ATTRIBUTE celda[13][12] NUMERIC
@ATTRIBUTE celda[14][12] NUMERIC
@ATTRIBUTE celda[15][12] NUMERIC
@ATTRIBUTE celda[16][12] NUMERIC
@ATTRIBUTE celda[17][12] NUMERIC
@ATTRIBUTE mario_x NUMERIC
@ATTRIBUTE mario_y NUMERIC
@ATTRIBUTE marioStatus NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE isMarioOnGround {1, 0}
@ATTRIBUTE isMarioAbleToJump {1, 0}
@ATTRIBUTE isMarioAbleToShoot {1, 0}
@ATTRIBUTE isMarioCarrying {1, 0}
@ATTRIBUTE killsTotal NUMERIC
@ATTRIBUTE killsByFire NUMERIC
@ATTRIBUTE killsByStomp NUMERIC
@ATTRIBUTE killsByShell NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE distancePassedPhys NUMERIC
@ATTRIBUTE flowersDevoured NUMERIC
@ATTRIBUTE mushroomsDevoured NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE timeSpent NUMERIC
@ATTRIBUTE hiddenBlocksFound NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE bricks NUMERIC
@ATTRIBUTE enemys NUMERIC
@ATTRIBUTE coins_6 NUMERIC
@ATTRIBUTE enemys_6 NUMERIC
@ATTRIBUTE coins_12 NUMERIC
@ATTRIBUTE enemys_12 NUMERIC
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE enemys_24 NUMERIC
@ATTRIBUTE ACTION {00, 01, 10, 11}
@data
0, 0, 0, 0, -24, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 299.0, 223.0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 197, 18, 299, 0, 0, 8, 2, 0, 127, 3, 12, 3, 0, 0, 0, 0, 8, 0, 10
0, 0, 0, 0, -24, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 299.0, 223.0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 197, 18, 299, 0, 0, 8, 2, 0, 127, 3, 12, 4, 0, 0, 0, 0, 8, 0, 10
0, 0, 0, 0, -24, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 299.0, 223.0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 197, 18, 299, 0, 0, 8, 2, 0, 127, 3, 12, 3, 0, 0, 0, 0, 8, 0, 10
0, 0, 0, 0, -24, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 299.0, 209.7, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 197, 18, 299, 0, 0, 8, 2, 0, 127, 3, 12, 4, 0, 0, 0, 0, 8, 0, 10
0, 0, 0, 0, 0, 0, -24, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 299.0, 196.4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 197, 18, 299, 0, 0, 8, 2, 0, 127, 3, 12, 4, 0, 0, 0, 0, 8, 0, 10
0, 0, 0, 0, 0, 0, 0, -24, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 300.2, 188.095, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 197, 18, 300, 0, 0, 8, 2, 0, 127, 6, 12, 4, 0, 0, 2, 0, 8, 0, 10
0, 0, 0, 0, 0, 0, 0, -24, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 302.46802, 184.03575, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 197, 18, 302, 0, 0, 8, 2, 0, 127, 6, 12, 4, 0, 0, 4, 0, 8, 0, 10
0, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 305.68652, 183.58539, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 197, 19, 305, 0, 0, 8, 2, 0, 127, 6, 12, 3, 0, 0, 4, 0, 8, 0, 10
0, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 309.751, 186.20258, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 197, 19, 309, 0, 0, 8, 3, 0, 127, 6, 12, 3, 0, 0, 6, 0, 8, 0, 10
0, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, 314.5684, 191.42719, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 197, 19, 314, 0, 0, 8, 3, 0, 127, 6, 12, 2, 0, 0, 8, 0, 8, 0, 10
